144.01	43.38	Akan
140.80	39.76	Akita-Komaga-take
140.76	39.96	Akita-Yake-yama
145.67	16.35	Anatahan
138.53	36.40	Asama
131.11	32.88	Aso
145.41	19.67	Asuncion
140.25	37.73	Azuma
140.08	37.60	Bandai
139.92	31.88	Bayonnaise
140.05	39.10	Chokai
141.17	41.80	E-san
144.90	20.54	Farallon
143.47	21.93	Fukujin
141.49	24.28	Fukutoku-Okanoba
145.85	17.31	Guguan
124.00	24.56	Iriomote-jima
140.31	40.65	Iwaki
141.00	39.85	Iwate
141.29	24.75	Ioto
128.22	27.88	Iwo-Tori-shima
139.10	34.90	Izu-Tobu
141.10	26.12	Kaitoku
143.71	21.76	Kasuga
130.31	30.79	Kikai
130.86	31.93	Kirishima
141.42	24.41	Kita-Fukutokutai
141.28	25.42	Kita-Iwo-jima
140.68	42.06	Komaga-take
130.22	30.44	Kuchinoerabu-jima
131.25	33.08	Kuju
140.79	38.96	Kurikoma
138.54	36.62	Kusatsu-Shirane
141.16	42.49	Kuttara
141.94	23.50	Minami-Hiyoshi
139.53	34.08	Miyake-jima
129.86	29.86	Nakano-shima
139.97	37.12	Nasu
138.04	36.92	Niigata-Yake-yama
139.38	36.80	Nikko-Shirane
143.04	43.45	Nipesotsu-Maruyama
140.88	27.27	Nishino-shima
144.77	14.60	NW
137.48	35.89	On-take
139.40	34.72	Oshima
145.80	18.13	Pagan
145.13	44.07	Rausu
145.57	15.62	Ruby
130.66	31.58	Sakura-jima
141.38	42.69	Shikotsu
145.16	44.13	Shiretoko-Iwo-zan
140.05	31.44	Smith
145.10	20.13	Supply
129.72	29.64	Suwanose-jima
137.59	36.57	Tate-yama
142.69	43.42	Tokachi
140.31	30.48	Tori-shima
121.83	24.00	Unnamed
130.29	32.76	Unzen
140.84	42.54	Usu
137.59	36.22	Yake-dake
129.00	28.80	Yokoate-jima
140.44	38.14	Zao
155.55	50.86	Alaid
147.13	44.81	Atsonupuri
148.02	45.10	Baransky
155.46	50.33	Chikurachki
153.48	48.98	Chirinkotan
147.93	45.34	Chirip
150.88	46.53	Chirpoi
156.02	50.68	Ebeko
153.93	48.96	Ekarma
155.25	50.27	Fuss
145.51	43.84	Golovnin
151.75	46.83	Goriaschaia
147.92	45.03	Grozny
155.37	50.13	Karpinsky
152.48	47.35	Ketoi
154.51	49.12	Kharimkotan
150.05	46.04	Kolokol
148.84	45.39	Medvezhia
145.74	43.98	Mendeleev
154.81	49.57	Nemo
152.12	47.02	Prevo
153.25	48.29	Raikoke
153.02	47.77	Rasshua
153.20	48.09	Sarychev
154.18	48.88	Sinarka
154.70	49.35	Tao-Rusyr
146.26	44.35	Tiatia
151.28	46.47	Unnamed
153.33	48.08	Unnamed
152.80	47.52	Ushishur
151.95	46.92	Zavaritzki
159.45	53.98	Akademia
158.83	53.26	Avachinsky
128.08	41.98	Changbaishan
160.59	55.98	Bezymianny
158.03	52.56	Gorely
157.20	51.49	Ilyinsky
159.45	54.05	Karymsky
160.32	55.13	Kizimen
160.64	56.06	Kliuchevskoi
158.69	53.32	Koryaksky
160.53	54.75	Kronotsky
157.53	51.80	Ksudach
80.20	35.52	Kunlun
159.67	54.13	Maly
158.20	52.45	Mutnovsky
161.36	56.65	Shiveluch
160.33	55.83	Tolbachik
160.47	56.07	Ushkovsky
157.32	51.57	Zheltovsky
159.15	53.59	Zhupanovsky
-165.99	54.13	Akutan
-171.25	52.50	Amukta
-158.17	56.88	Aniakchak
-174.15	52.38	Atka
-153.43	59.36	Augustine
-168.03	53.93	Bogoslof
-170.05	52.89	Carlisle
-156.99	57.13	Chiginagak
-169.94	52.83	Cleveland
-164.43	54.65	Fisher
-153.67	58.77	Fourpeaked
-178.79	51.79	Gareloi
-176.13	52.08	Great
-153.09	60.03	Iliamna
-169.72	52.97	Kagamil
-177.17	51.92	Kanaga
-175.51	52.18	Kasatochi
-154.96	58.28	Katmai
177.60	52.10	Kiska
-174.15	52.38	Korovin
-159.80	56.01	Kupreanof
178.54	51.95	Little
